red,green,blue,red_temp,green_temp,blue_temp
269.7145669291339,125.5145669291339,51.66456692913394,0.0,0.0,0.0
303.1129921259843,145.46299212598433,4.062992125984323,0.0,0.0,0.0
298.24527559055116,166.7952755905511,-5.554724409448852,0.0,0.0,0.0
324.4531496062991,177.25314960629916,-37.09685039370086,0.0,0.0,0.0
342.9728346456693,186.87283464566923,-59.87716535433066,0.0,0.0,0.0
355.3877952755907,199.58779527559057,-81.46220472440939,0.0,0.0,0.0
332.2208661417323,193.8208661417323,-46.879133858267664,0.0,0.0,0.0
392.2795275590551,210.57952755905518,-115.92047244094482,0.0,0.0,0.0
389.3669291338584,208.51692913385833,-106.03307086614154,0.0,0.0,0.0
385.8618110236222,217.6118110236221,-107.3381889763777,0.0,0.0,0.0
376.3984251968505,209.1484251968505,-81.45157480314947,0.0,0.0,0.0
