red,green,blue,closest_id,closest_dist
170,158,116,,
158,146,106,,
147,137,101,,
127,130,113,,
129,142,135,,
96,112,102,,
82,92,81,,
76,86,75,,
85,93,82,,
79,85,75,,
78,81,72,,
82,83,75,,
79,80,72,,
75,78,69,,
82,85,76,,
83,86,77,,
73,76,67,,
72,77,70,,
74,81,73,,
80,85,78,,
77,80,71,,
76,82,72,,
77,80,71,,
82,85,76,,
76,81,74,,
80,85,78,,
79,88,83,,
76,75,70,,
74,70,61,,
87,86,81,,
71,74,67,,
73,74,68,,
76,79,72,,
98,101,94,,
75,74,69,,
77,74,69,,
77,74,69,,
75,72,65,,
77,74,67,,
79,76,69,,
76,73,66,,
73,72,67,,
76,73,66,,
74,71,64,,
76,72,63,,
75,72,63,,
79,76,67,,
77,74,65,,
76,73,64,,
75,75,65,,
73,73,63,,
76,77,69,,
76,81,74,,
80,88,77,,
78,88,79,,
81,91,83,,
79,89,81,,
78,85,78,,
82,91,86,,
80,91,85,,
78,89,83,,
85,96,92,,
88,97,94,,
84,93,90,,
82,91,86,,
85,94,89,,
79,89,81,,
81,91,83,,
93,103,95,,
79,89,81,,
82,89,82,,
84,90,86,,
92,98,94,,
86,95,90,,
84,94,85,,
88,98,87,,
82,92,83,,
85,90,83,,
85,90,83,,
85,90,83,,
87,90,83,,
85,90,86,,
84,90,86,,
87,93,89,,
88,94,90,,
89,94,90,,
89,94,90,,
90,95,91,,
89,94,90,,
83,88,84,,
87,92,86,,
79,84,78,,
82,87,81,,
87,90,83,,
86,91,84,,
78,81,74,,
79,78,73,,
76,76,68,,
74,74,66,,
79,76,69,,
75,72,63,,
74,72,60,,
73,70,63,,
74,72,60,,
73,71,58,,
76,74,61,,
76,77,63,,
74,76,65,,
79,77,56,,
148,140,104,,
148,139,98,,
156,144,104,,
162,147,108,,
160,147,103,,
162,148,111,,
153,140,106,,
152,140,102,,
163,151,109,,
176,164,124,,
163,150,106,,
179,166,121,,
169,157,115,,
144,134,99,,
111,115,98,,
130,145,142,,
109,122,115,,
86,96,85,,
81,91,80,,
92,102,91,,
75,85,74,,
76,84,73,,
77,83,73,,
77,80,71,,
75,78,69,,
75,81,71,,
75,81,71,,
89,95,85,,
72,80,69,,
75,83,72,,
73,76,67,,
77,78,70,,
73,76,67,,
76,77,69,,
79,80,72,,
79,82,73,,
76,84,73,,
81,83,78,,
83,80,75,,
76,73,66,,
74,74,66,,
76,79,70,,
72,78,68,,
73,76,69,,
89,90,84,,
76,75,70,,
76,71,67,,
77,72,66,,
74,71,64,,
75,72,65,,
77,74,67,,
76,73,66,,
75,72,65,,
75,72,65,,
77,73,64,,
73,71,59,,
75,75,63,,
74,74,62,,
69,71,60,,
70,71,63,,
78,84,74,,
80,88,77,,
79,87,76,,
78,85,77,,
85,95,84,,
85,92,84,,
78,85,77,,
