,red,green,blue,closest
1111,123,115,92,
1112,150,137,102,
1113,153,139,102,
1114,147,133,96,
1115,153,139,102,
1116,161,147,110,
1117,153,139,102,
1118,154,140,103,
1119,152,138,99,
1120,161,146,103,
1121,174,161,119,
1122,180,167,122,
1123,185,173,123,
1124,178,166,118,
1125,139,130,91,
1126,105,111,97,
1127,122,141,139,
1128,113,124,118,
1129,79,90,76,
1130,78,88,77,
1131,73,83,72,
1132,78,88,77,
1133,78,86,75,
1134,74,80,70,
1135,76,79,70,
1136,75,78,69,
1137,76,82,72,
1138,80,86,76,
1139,73,79,69,
1140,101,109,98,
1141,71,79,68,
1142,72,75,66,
1143,75,76,68,
1144,76,77,69,
1145,73,74,66,
1146,78,79,71,
1147,78,81,74,
1148,77,80,73,
1149,79,81,76,
1150,77,78,72,
1151,86,86,78,
1152,72,72,64,
1153,85,88,79,
1154,75,83,72,
1155,73,76,69,
1156,80,83,76,
1157,77,76,71,
1158,76,73,68,
1159,76,73,66,
1160,75,72,65,
1161,77,74,67,
1162,74,71,64,
1163,76,73,66,
1164,74,74,66,
1165,76,73,66,
1166,76,71,65,
1167,73,70,61,
1168,76,76,66,
1169,72,73,65,
1170,79,82,73,
1171,78,83,76,
1172,79,86,78,
1173,81,91,82,
1174,79,89,80,
1175,77,84,76,
1176,79,89,80,
1177,82,89,81,
1178,79,86,78,
1179,74,81,73,
1180,79,87,76,
1181,80,90,82,
1182,84,93,92,
1183,88,97,96,
1184,100,109,108,
1185,95,104,103,
1186,92,101,100,
1187,92,101,100,
1188,95,104,103,
1189,103,114,108,
1190,88,99,91,
1191,92,98,94,
1192,82,88,84,
1193,89,98,97,
1194,85,94,89,
1195,94,104,96,
1196,84,93,88,
1197,78,85,78,
1198,83,89,85,
1199,85,91,87,
1200,82,87,80,
1201,81,86,79,
1202,85,90,83,
1203,84,87,80,
1204,80,81,73,
1205,80,80,72,
1206,81,81,73,
1207,80,80,72,
1208,81,81,71,
1209,81,81,73,
1210,80,80,72,
1211,78,78,68,
1212,77,77,67,
1213,77,77,69,
1214,75,75,67,
1215,76,76,66,
1216,74,76,65,
1217,82,82,72,
1218,79,79,69,
1219,79,79,69,
1220,77,77,69,
1221,78,78,70,
1222,80,77,70,
1223,78,78,68,
1224,79,76,67,
1225,77,74,67,
1226,76,74,62,
1227,76,74,61,
1228,73,74,60,
1229,78,76,63,
1230,85,83,62,
1231,139,132,103,
1232,152,136,102,
1233,152,136,102,
1234,143,129,94,
1235,149,134,101,
1236,151,136,103,
1237,155,139,103,
